,0,1,2
"(2, 'tanh', 1, 1)",100.0,1.5,-1.0
"(2, 'tanh', 1, 31)",95.88,1.5,0.0
"(2, 'tanh', 1, 61)",100.0,-1.0,-1.0
"(2, 'tanh', 1, 91)",96.91,0.5,0.0
"(2, 'tanh', 31, 31)",98.97,1.5,0.0
"(2, 'tanh', 31, 61)",92.78,7.5,0.0
"(2, 'tanh', 31, 91)",100.0,1.0,0.0
"(2, 'tanh', 61, 1)",88.66,4.5,0.0
"(2, 'tanh', 61, 31)",98.97,0.5,0.0
"(2, 'tanh', 61, 61)",96.91,1.0,0.0
"(2, 'tanh', 61, 91)",96.91,1.5,0.0
"(2, 'tanh', 91, 1)",96.91,3.0,0.0
"(2, 'tanh', 91, 31)",95.88,1.0,0.0
"(2, 'tanh', 91, 61)",98.97,1.5,0.0
"(2, 'tanh', 91, 91)",98.97,0.5,0.0
"(2, 'relu', 1, 31)",100.0,-1.0,-1.0
"(2, 'relu', 1, 61)",62.89,53.0,46.88
"(2, 'relu', 1, 91)",100.0,-1.0,-1.0
"(2, 'relu', 31, 31)",69.07,48.0,46.88
"(2, 'relu', 31, 61)",74.23,29.5,0.0
"(2, 'relu', 31, 91)",68.04,49.5,46.88
"(2, 'relu', 61, 1)",100.0,-1.0,-1.0
"(2, 'relu', 61, 31)",73.2,26.0,0.0
"(2, 'relu', 61, 61)",67.01,49.5,46.88
"(2, 'relu', 91, 1)",97.94,0.0,0.0
"(2, 'relu', 91, 61)",67.01,50.0,46.88
"(2, 'relu', 91, 91)",67.01,32.0,0.0
"(2, 'linear', 1, 1)",76.29,40.5,9.38
"(2, 'linear', 1, 31)",65.98,53.0,37.5
"(2, 'linear', 1, 61)",75.26,53.0,0.0
"(2, 'linear', 31, 31)",64.95,30.5,0.0
"(2, 'linear', 31, 61)",60.82,32.5,0.0
"(2, 'linear', 31, 91)",60.82,32.5,0.0
"(2, 'linear', 61, 31)",67.01,50.0,46.88
"(2, 'linear', 91, 31)",61.86,32.5,0.0
"(2, 'linear', 91, 61)",65.98,52.0,46.88
"(2, 'linear', 91, 91)",63.92,53.0,46.88
